name,0,1,2,3,4,5
adhya1.p1,0,0,0,0,0,0
adhya1.p2,0,0,0,0,0,0
adhya1.p3,0,0,0,0,0,0
adhya1.p4,0,0,0,0,0,0
adhya2.p1,0,0,0,0,0,0
adhya2.p2,0,0,0,0,0,0
adhya2.p3,0,0,0,0,0,0
adhya2.p4,0,0,0,0,0,0
adhya3.p1,0,0,0,0,0,0
adhya3.p2,0,0,0,0,0,0
adhya3.p3,0,0,0,0,0,0
adhya3.p4,0,0,0,0,0,0
adhya4.p1,0,0,0,0,0,0
adhya4.p2,0,0,0,0,0,0
adhya4.p3,0,0,0,0,0,0
adhya4.p4,0,0,0,0,0,0
adhya4.p5,0,0,0,0,0,0
rt2.p1,0.74,0,95,85,0,0
rt2.p2,0.74,0,96,88,0,0
rt2.p3,0.74,0,91,83.5,0,0
bental4.p1,0,0,0,0,0,0
bental4.p2,0,0,0,0,0,0
bental5.p1,0,0,0,0,0,0
bental5.p2,0,0,0,0,0,0
bental5.p3,0,0,0,0,0,0
bental5.p4,0,0,0,0,0,0
bental5.p5,0,0,0,0,0,0
haverly1.p1,0,0,0,0,0,0
haverly1.p2,0,0,0,0,0,0
haverly2.p1,0,0,0,0,0,0
haverly2.p2,0,0,0,0,0,0
haverly3.p1,0,0,0,0,0,0
haverly3.p2,0,0,0,0,0,0
foulds2.p1,0,0,0,0,0,0
foulds2.p2,0,0,0,0,0,0
foulds2.p3,0,0,0,0,0,0
foulds2.p4,0,0,0,0,0,0
foulds3.p1,0,0,0,0,0,0
foulds3.p2,0,0,0,0,0,0
foulds3.p3,0,0,0,0,0,0
foulds3.p4,0,0,0,0,0,0
foulds3.p5,0,0,0,0,0,0
foulds3.p6,0,0,0,0,0,0
foulds3.p7,0,0,0,0,0,0
foulds3.p8,0,0,0,0,0,0
foulds3.p9,0,0,0,0,0,0
foulds3.p10,0,0,0,0,0,0
foulds3.p11,0,0,0,0,0,0
foulds3.p12,0,0,0,0,0,0
foulds3.p13,0,0,0,0,0,0
foulds3.p14,0,0,0,0,0,0
foulds3.p15,0,0,0,0,0,0
foulds3.p16,0,0,0,0,0,0
foulds4.p1,0,0,0,0,0,0
foulds4.p2,0,0,0,0,0,0
foulds4.p3,0,0,0,0,0,0
foulds4.p4,0,0,0,0,0,0
foulds4.p5,0,0,0,0,0,0
foulds4.p6,0,0,0,0,0,0
foulds4.p7,0,0,0,0,0,0
foulds4.p8,0,0,0,0,0,0
foulds4.p9,0,0,0,0,0,0
foulds4.p10,0,0,0,0,0,0
foulds4.p11,0,0,0,0,0,0
foulds4.p12,0,0,0,0,0,0
foulds4.p13,0,0,0,0,0,0
foulds4.p14,0,0,0,0,0,0
foulds4.p15,0,0,0,0,0,0
foulds4.p16,0,0,0,0,0,0
foulds5.p1,0,0,0,0,0,0
foulds5.p2,0,0,0,0,0,0
foulds5.p3,0,0,0,0,0,0
foulds5.p4,0,0,0,0,0,0
foulds5.p5,0,0,0,0,0,0
foulds5.p6,0,0,0,0,0,0
foulds5.p7,0,0,0,0,0,0
foulds5.p8,0,0,0,0,0,0
foulds5.p9,0,0,0,0,0,0
foulds5.p10,0,0,0,0,0,0
foulds5.p11,0,0,0,0,0,0
foulds5.p12,0,0,0,0,0,0
foulds5.p13,0,0,0,0,0,0
foulds5.p14,0,0,0,0,0,0
foulds5.p15,0,0,0,0,0,0
foulds5.p16,0,0,0,0,0,0
